riskscore,pred_agelastarrest,pred_shootingvic_num,pred_assaultvic_num,pred_violetoffense_num,pred_crimacttrend_num,pred_uuwarrests_num,sex,race,weaponarrest_yn,drugarrest_yn,agegrp,ageto,stoporderno,paroleestatus_yn,lastarrest_date,distlastarrest,majoritydist,dlst,distlastresidence,weaponsarrest_num,lastweaparrest_date,narcoticssarrest_num,lastnarcarrest_date,cityresidence_idoc,stateresidence_idoc,zipresidence_idoc,idoccpddist,arrestbycpd_yn,domassaultarrest_num,lastdomassaultarrest_date,currentage,lastpartytoviolence_date,trapstatus,statusi,trapflags,cvrm_flags,latitude,longitude,censustract,commarea,location,dayslastarrest_num_et,notincookcounty_et,livewherearrested_et,shootingvictim_et,assaultvictim_et,predsumwotrend_et,lastarrestpolarea_id_et,agecatchange_et,urban_yn,random,insample
VERY LOW,20 to 29,0,0,0,-.30000001,0,M,BLK,0,1,20 to 29,20 to 29,,,8/8/14,15,11,IL,15,,,1,12/30/12 21:25,,,,,1,,,30 to 39,,,Y,,,,,,,,2106,,1,0,0,0,3,0,Chicago City,.0012139131,1
LOW,30 to 39,0,0,0,.1,0,M,BLK,0,0,30 to 39,30 to 39,,,2/9/17,4,8,,6,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,1190,,0,0,0,0,2,1,Chicago City,.0012153359,1
VERY LOW,40 to 49,0,0,0,-.60000002,0,M,BLK,0,1,40 to 49,40 to 49,,1,10/9/18,11,11,IL,11,,,5,9/1/16 8:51,CHICAGO        ,IL,60651,,1,1,10/9/18 9:53,40 to 49,,,Y,,,,,,,,583,,1,0,0,0,3,1,Chicago City,.0012215683,1
LOW,less than 20,0,0,0,1.2,0,M,WHI,0,0,less than 20,less than 20,,,6/15/18,31,,IL,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,699,1,1,0,0,0,,0,Rural/County,.0012251427,1
LOW,20 to 29,0,0,0,-.1,0,M,API,0,0,20 to 29,20 to 29,,,8/29/15,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1720,1,1,0,0,0,,1,Rural/County,.0012261526,1
VERY LOW,50 to 59,0,0,0,.1,0,F,BLK,0,0,50 to 59,50 to 59,,,10/7/16,7,7,,7,,,,,POSEN,IL,60469,,1,,,60 or older,,,Y,,,,,,,,1315,,1,0,0,0,2,0,Chicago City,.0012282463,1
VERY LOW,20 to 29,0,0,0,-.1,0,M,WWH,0,0,20 to 29,20 to 29,,,11/11/15,8,8,,8,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,1646,,1,0,0,0,1,0,Chicago City,.0012297978,1
LOW,20 to 29,0,1,0,-.30000001,0,F,BLK,0,0,20 to 29,20 to 29,,,4/14/15,8,8,,8,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1857,,1,0,1,1,1,1,Chicago City,.0012320643,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,M,WWH,0,0,30 to 39,30 to 39,,,7/20/14,8,8,,9,,,,,,,,,1,,,40 to 49,,,Y,,,,,,,,2125,,0,0,0,0,1,0,Chicago City,.001234095,1
LOW,less than 20,0,0,0,-.60000002,0,F,BLK,0,0,less than 20,less than 20,,,6/1/15,6,6,,5,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1809,,0,0,0,0,2,0,Chicago City,.001234157,1
LOW,20 to 29,0,0,0,-.1,0,F,WHI,0,0,20 to 29,20 to 29,,,5/18/16,3,3,,31,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1457,,0,0,0,0,1,1,Rural/County,.0012353834,1
VERY LOW,50 to 59,0,0,0,-.30000001,0,F,BLK,0,1,50 to 59,50 to 59,,,12/22/14,15,15,,15,,,1,12/22/14 23:08,,,,,1,,,50 to 59,,,Y,,,,,,,,1970,,1,0,0,0,3,1,Chicago City,.0012382938,1
VERY LOW,50 to 59,0,0,0,-.1,0,M,WWH,0,0,50 to 59,50 to 59,,,5/22/16,14,14,,7,,,,,,,,,1,,,60 or older,,,Y,,,,,,,,1453,,0,0,0,0,3,0,Chicago City,.0012386701,1
