riskscore,pred_agelastarrest,pred_shootingvic_num,pred_assaultvic_num,pred_violetoffense_num,pred_crimacttrend_num,pred_uuwarrests_num,sex,race,weaponarrest_yn,drugarrest_yn,agegrp,ageto,stoporderno,paroleestatus_yn,lastarrest_date,distlastarrest,majoritydist,dlst,distlastresidence,weaponsarrest_num,lastweaparrest_date,narcoticssarrest_num,lastnarcarrest_date,cityresidence_idoc,stateresidence_idoc,zipresidence_idoc,idoccpddist,arrestbycpd_yn,domassaultarrest_num,lastdomassaultarrest_date,currentage,lastpartytoviolence_date,trapstatus,statusi,trapflags,cvrm_flags,latitude,longitude,censustract,commarea,location,dayslastarrest_num_et,notincookcounty_et,livewherearrested_et,shootingvictim_et,assaultvictim_et,predsumwotrend_et,lastarrestpolarea_id_et,agecatchange_et,urban_yn,random,insample
VERY LOW,30 to 39,1,0,0,-.69999999,0,M,BLK,1,1,30 to 39,30 to 39,,1,8/13/15,7,7,,5,1,10/31/09 23:05,1,10/14/13 18:03,CHICAGO,IL,60628,,1,,,40 to 49,8/11/16 23:54,4,Y,,,,,,,,1736,,0,1,0,1,2,0,Chicago City,.0014419698,1
VERY LOW,20 to 29,0,0,0,-.30000001,0,M,BLK,0,0,20 to 29,20 to 29,,,12/2/14,15,15,,15,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,1990,,1,0,0,0,3,0,Chicago City,.0014421073,1
VERY LOW,40 to 49,0,0,0,-.80000001,0,M,BLK,0,0,40 to 49,40 to 49,,,3/21/16,5,5,IL,31,,,,,COUNTRY CLB HLS,IL,60478,,1,1,12/26/09 0:40,50 to 59,,,Y,,,,,,,,1515,,0,0,0,0,2,0,Rural/County,.0014443001,1
VERY LOW,30 to 39,0,0,0,-.1,0,M,WWH,0,0,30 to 39,30 to 39,,,4/11/16,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1494,1,1,0,0,0,,1,Rural/County,.0014449182,1
VERY LOW,30 to 39,0,0,0,-.2,0,F,BLK,0,0,30 to 39,30 to 39,,,12/12/16,1,1,,1,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,1249,,1,0,0,0,1,1,Chicago City,.0014464777,1
LOW,20 to 29,0,0,0,-.1,0,F,BLK,0,0,20 to 29,20 to 29,,,2/26/16,31,10,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1539,,1,0,0,0,,1,Rural/County,.001455387,1
VERY LOW,30 to 39,0,0,0,.1,0,M,BLK,0,0,30 to 39,30 to 39,,,9/7/18,31,,,31,,,,,,,,,0,1,9/7/18 4:31,30 to 39,,,Y,,,,,,,,615,1,1,0,0,0,,1,Rural/County,.001455683,1
LOW,20 to 29,0,0,0,-.2,0,M,BLK,0,1,20 to 29,20 to 29,,1,5/26/17,11,11,,12,,,3,2/13/15 19:50,CHICAGO        ,IL,60628,,1,,,30 to 39,1/30/13 19:52,,Y,,,,,,,,1084,,0,0,0,0,3,0,Chicago City,.0014624378,1
VERY LOW,30 to 39,0,0,0,.30000001,0,M,WWH,0,1,30 to 39,30 to 39,,,12/3/17,31,15,,31,,,1,4/8/14 19:50,,,,,0,,,30 to 39,,,Y,,,,,,,,893,1,1,0,0,0,,1,Rural/County,.0014686523,1
VERY LOW,20 to 29,0,0,0,-.60000002,0,F,BLK,0,1,20 to 29,20 to 29,,,5/25/15,31,3,,7,,,1,9/19/12 2:30,,,,,0,,,30 to 39,,,Y,,,,,,,,1816,,0,0,0,0,,0,Chicago City,.0014740885,1
VERY LOW,20 to 29,0,0,0,-.40000001,0,M,BLK,0,1,20 to 29,20 to 29,,,4/14/18,31,11,,11,,,5,1/9/16 12:10,               ,,         ,,0,,,20 to 29,,,Y,,,,,,,,761,,0,0,0,0,,1,Chicago City,.001474657,1
VERY LOW,50 to 59,0,0,0,-.1,0,F,BLK,0,0,50 to 59,50 to 59,,,6/17/16,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1427,1,1,0,0,0,,1,Rural/County,.0014756307,1
VERY LOW,30 to 39,0,0,0,-.1,0,M,BLK,0,0,30 to 39,30 to 39,,1,8/25/15,9,9,IL,9,,,,,CHICAGO,IL,60609,,1,,,30 to 39,,,Y,,,,,,,,1724,,1,0,0,0,1,1,Chicago City,.0014769536,1
LOW,20 to 29,0,0,0,.30000001,0,M,WWH,0,0,20 to 29,20 to 29,,,1/14/18,8,8,,8,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,851,,1,0,0,0,1,1,Chicago City,.0014772539,1
VERY LOW,20 to 29,0,0,0,-.1,0,M,WHI,0,1,20 to 29,20 to 29,,,1/8/09,31,,,31,,,1,5/31/16 14:34,,,,,0,,,30 to 39,,,Y,,,,,,,,4144,,1,0,0,0,,0,Rural/County,.0014779365,1
LOW,20 to 29,0,0,0,-.30000001,0,M,WWH,0,0,20 to 29,20 to 29,,,1/29/15,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1932,1,1,0,0,0,,1,Rural/County,.0014798713,1
LOW,less than 20,0,0,0,-.30000001,0,M,WHI,0,0,less than 20,less than 20,,,11/24/13,31,,,31,,,,,,,,,0,2,12/27/14 14:15,20 to 29,,,Y,,,,,,,,2363,,1,0,0,0,,0,Rural/County,.0014863389,1
VERY LOW,30 to 39,0,0,0,-.1,0,M,BLK,0,0,30 to 39,30 to 39,,,4/30/09,31,,,31,,,,,,,,,0,1,4/30/09 21:14,30 to 39,,,Y,,,,,,,,4032,,1,0,0,0,,1,Rural/County,.0014867573,1
VERY LOW,60 or older,0,0,0,-.60000002,0,M,BLK,0,0,60 or older,60 or older,,,9/27/15,18,18,,18,,,,,,,,,1,,,60 or older,,,Y,,,,,,,,1691,,1,0,0,0,1,1,Chicago City,.0014882451,1
MODERATE,less than 20,0,0,0,.1,0,M,WHI,0,0,less than 20,less than 20,,,11/20/17,31,,,31,,,,,,,,,0,,,less than 20,,,Y,,,,,,,,906,,1,0,0,0,,1,Rural/County,.0014947187,1
LOW,20 to 29,0,0,0,0,0,M,BLK,0,0,20 to 29,20 to 29,,,9/2/18,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,620,,1,0,0,0,,1,Rural/County,.001500954,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,M,WHI,0,0,30 to 39,30 to 39,,,2/14/15,25,25,,31,,,,,,,,,1,,,40 to 49,,,Y,,,,,,,,1916,,0,0,0,0,3,0,Rural/County,.0015037287,1
VERY LOW,30 to 39,0,0,1,.1,0,M,WWH,0,0,30 to 39,30 to 39,,,10/9/16,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1313,1,1,0,0,1,,1,Rural/County,.0015110046,1
VERY LOW,40 to 49,0,0,0,-.1,0,M,WHI,0,0,40 to 49,40 to 49,,,10/30/15,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1658,,1,0,0,0,,0,Rural/County,.0015122484,1
VERY LOW,40 to 49,0,0,0,.1,0,M,WHI,0,1,40 to 49,40 to 49,,,8/28/16,31,,,31,,,1,8/28/16 8:55,,,,,0,,,40 to 49,,,Y,,,,,,,,1355,1,1,0,0,0,,1,Rural/County,.001522113,1
LOW,20 to 29,0,0,0,-.30000001,0,M,WWH,0,0,20 to 29,20 to 29,,,6/21/15,31,,,31,,,,,,,,,0,1,6/21/15 18:25,20 to 29,,,Y,,,,,,,,1789,1,1,0,0,0,,1,Rural/County,.0015260911,1
VERY LOW,30 to 39,0,0,0,.30000001,0,F,BLK,0,0,30 to 39,30 to 39,,,12/6/17,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,890,,1,0,0,0,,0,Rural/County,.0015269155,1
VERY LOW,40 to 49,0,0,0,-.30000001,0,F,BLK,0,0,40 to 49,40 to 49,,,9/22/14,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,2061,,1,0,0,0,,0,Rural/County,.0015279182,1
LOW,20 to 29,0,0,0,-.30000001,0,F,WWH,0,0,20 to 29,20 to 29,,,8/2/14,31,,,9,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,2112,,0,0,0,0,,1,Chicago City,.0015305429,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,M,BLK,0,0,30 to 39,30 to 39,,,4/6/15,2,2,IL,7,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,1865,,0,0,0,0,1,1,Chicago City,.0015376519,1
LOW,20 to 29,0,0,0,.30000001,0,M,BLK,0,0,20 to 29,20 to 29,,,9/26/17,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,961,1,1,0,0,0,,1,Rural/County,.0015389165,1
VERY LOW,30 to 39,0,0,0,.30000001,0,M,WHI,0,0,30 to 39,30 to 39,,,11/17/17,11,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,909,,0,0,0,0,3,1,Rural/County,.0015424257,1
LOW,20 to 29,0,0,1,.40000001,1,M,BLK,0,0,20 to 29,20 to 29,,,9/19/17,31,8,IL,31,,,,,,,,,0,2,9/19/17 15:00,20 to 29,,,Y,,,,,,,,968,,1,0,0,2,,1,Rural/County,.0015456801,1
LOW,20 to 29,0,0,0,.30000001,0,F,BLK,0,0,20 to 29,20 to 29,,,12/4/17,10,11,,10,,,,,,,,,1,2,8/21/12 20:25,20 to 29,,,Y,,,,,,,,892,,1,0,0,0,1,1,Chicago City,.0015498641,1
MODERATE,less than 20,0,0,1,-.1,1,M,BLK,1,0,less than 20,less than 20,,,7/6/16,7,7,,3,1,7/6/16 15:45,,,,,,,1,,,less than 20,,,Y,,,,,,,,1408,,0,0,0,2,2,1,Chicago City,.0015530223,1
VERY LOW,20 to 29,0,0,0,.2,0,M,WWH,0,0,20 to 29,20 to 29,,,9/20/17,31,4,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,967,,1,0,0,0,,0,Rural/County,.0015564152,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,F,BLK,0,0,30 to 39,30 to 39,,,1/29/15,9,9,,2,,,,,CHICAGO,IL,60615,21,1,,,40 to 49,,,Y,,,,,,,,1932,,0,0,0,0,1,0,Chicago City,.0015575157,1
VERY LOW,60 or older,0,0,0,-.30000001,0,M,WHI,0,0,60 or older,60 or older,,,9/24/18,31,10,,25,,,,,,,,,0,,,60 or older,,,Y,,,,,,,,598,,0,0,0,0,,1,Chicago City,.0015592482,1
VERY LOW,20 to 29,0,0,0,-.30000001,0,M,WWH,0,0,20 to 29,20 to 29,,,11/28/14,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1994,1,1,0,0,0,,0,Rural/County,.0015699322,1
VERY LOW,50 to 59,0,0,0,.1,0,M,WHI,0,0,50 to 59,50 to 59,,,6/22/17,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1057,,1,0,0,0,,1,Rural/County,.0015724894,1
LOW,30 to 39,0,0,0,.89999998,0,M,BLK,0,1,30 to 39,30 to 39,,1,4/24/18,11,11,,11,,,6,6/16/17 11:20,CHICAGO,IL,60644,,1,,,30 to 39,,,Y,,,,,,,,751,,1,0,0,0,3,1,Chicago City,.0015768862,1
VERY LOW,20 to 29,0,0,0,-1,0,M,BLK,0,0,20 to 29,20 to 29,,,5/17/16,31,,,24,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1458,,0,0,0,0,,1,Chicago City,.0015803647,1
VERY LOW,50 to 59,0,0,0,.30000001,0,F,BLK,0,0,50 to 59,50 to 59,,,8/2/17,3,3,,6,,,,,,,,,1,,,50 to 59,,,Y,,,,,,,,1016,,0,0,0,0,1,1,Chicago City,.0015804188,1
VERY LOW,50 to 59,0,0,0,.30000001,0,M,WHI,0,0,50 to 59,50 to 59,,,12/13/17,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,883,,1,0,0,0,,1,Rural/County,.0015821015,1
LOW,20 to 29,0,0,0,.30000001,0,M,WHI,0,0,20 to 29,20 to 29,,,10/9/17,31,,,31,,,,,,,,,0,1,10/9/17 12:20,20 to 29,,,Y,,,,,,,,948,1,1,0,0,0,,1,Rural/County,.001582259,1
VERY LOW,40 to 49,0,0,1,-.30000001,1,M,BLK,0,0,40 to 49,40 to 49,,,9/17/14,5,5,,5,,,,,,,,,1,,,50 to 59,,,Y,,,,,,,,2066,,1,0,0,2,2,0,Chicago City,.0015834306,1
VERY LOW,40 to 49,0,0,0,.2,0,M,BLK,0,1,40 to 49,40 to 49,,,9/9/18,31,7,IL,31,,,1,7/27/15 11:20,CHICAGO,IL,60636,,0,,,40 to 49,,,Y,,,,,,,,613,1,1,0,0,0,,1,Rural/County,.0015858609,1
LOW,20 to 29,0,0,3,-.2,2,M,BLK,1,0,20 to 29,20 to 29,,,7/13/16,5,5,,31,2,8/24/17 8:50,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1401,,0,0,0,5,2,1,Rural/County,.0015861943,1
VERY LOW,40 to 49,0,0,0,.30000001,0,M,WWH,0,0,40 to 49,40 to 49,,,11/1/17,31,,,4,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,925,,0,0,0,0,,0,Chicago City,.0015890806,1
LOW,30 to 39,0,1,0,-.1,0,M,BLK,0,0,30 to 39,30 to 39,,,4/4/18,9,9,,9,,,,,CICERO,IL,60804,,1,,,30 to 39,12/19/09 18:00,,Y,,,,,,,,771,,1,0,1,1,1,1,Chicago City,.0015918516,1
LOW,20 to 29,0,0,0,-.30000001,0,M,BLK,0,0,20 to 29,20 to 29,,,6/25/15,11,11,IL,11,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1785,,1,0,0,0,3,1,Chicago City,.0015964742,1
VERY LOW,40 to 49,0,0,0,-.1,0,F,WHI,0,0,40 to 49,40 to 49,,,9/28/15,25,25,,25,,,,,,,,,1,,,40 to 49,,,Y,,,,,,,,1690,,1,0,0,0,3,1,Chicago City,.0015988835,1
VERY LOW,30 to 39,0,0,0,-.1,0,F,BLK,0,0,30 to 39,30 to 39,,,2/6/16,9,,,15,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1559,,0,0,0,0,1,1,Chicago City,.0016039808,1
VERY LOW,20 to 29,0,0,0,.40000001,0,M,BLK,0,0,20 to 29,20 to 29,,,6/2/18,15,15,,15,,,,,,,,,1,,,30 to 39,9/23/11 22:03,,Y,,,,,,,,712,,1,0,0,0,3,0,Chicago City,.0016041228,1
VERY LOW,40 to 49,0,0,0,-.30000001,0,F,WHI,0,0,40 to 49,40 to 49,,,11/25/14,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1997,,1,0,0,0,,0,Rural/County,.0016078039,1
VERY LOW,30 to 39,0,0,0,.30000001,0,F,API,0,0,30 to 39,30 to 39,,,8/24/17,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,994,,1,0,0,0,,1,Rural/County,.0016090684,1
VERY LOW,40 to 49,0,0,0,-.1,0,M,BLK,0,0,40 to 49,40 to 49,,,7/23/18,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,661,1,1,0,0,0,,1,Rural/County,.0016126246,1
LOW,20 to 29,0,0,0,.40000001,0,M,BLK,0,0,20 to 29,20 to 29,,,7/17/17,22,22,IL,22,,,,,,,,,1,2,7/17/17 19:10,20 to 29,,,Y,,,,,,,,1032,,1,0,0,0,2,1,Chicago City,.0016132643,1
VERY LOW,30 to 39,0,0,0,-.60000002,0,F,WHI,0,0,30 to 39,30 to 39,,,4/18/15,1,11,IL,31,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,1853,,0,0,0,0,1,1,Rural/County,.0016145506,1
VERY LOW,30 to 39,0,0,0,.1,0,M,BLK,0,1,30 to 39,30 to 39,,,6/30/17,31,25,,25,,,2,5/26/10 13:54,CHICAGO,IL,60639,,0,,,30 to 39,,,Y,,,,,,,,1049,,0,0,0,0,,1,Chicago City,.0016186049,1
LOW,less than 20,0,0,0,-.60000002,0,F,API,0,0,less than 20,less than 20,,,12/17/15,20,24,,24,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1610,,0,0,0,0,3,0,Chicago City,.001623349,1
VERY LOW,40 to 49,0,0,0,.1,0,M,WHI,0,0,40 to 49,40 to 49,,,1/3/17,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,1227,1,1,0,0,0,,1,Rural/County,.001634067,1
VERY LOW,20 to 29,0,0,0,-.1,0,F,WWH,0,0,20 to 29,20 to 29,,,7/5/16,8,8,,31,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,1409,,0,0,0,0,1,0,Rural/County,.0016357451,1
VERY LOW,40 to 49,0,0,0,-.1,0,M,WWH,0,0,40 to 49,40 to 49,,,3/1/16,10,10,IL,31,,,,,,,,,1,,,50 to 59,,,Y,,,,,,,,1535,,0,0,0,0,1,0,Rural/County,.0016430304,1
VERY LOW,30 to 39,0,0,0,.2,0,M,BLK,0,0,30 to 39,30 to 39,,,7/28/13,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,2482,,1,0,0,0,,1,Rural/County,.0016475749,1
VERY LOW,40 to 49,0,0,0,-.30000001,0,F,WHI,0,0,40 to 49,40 to 49,,,8/15/14,12,12,,22,,,,,,,,,1,,,50 to 59,,,Y,,,,,,,,2099,,0,0,0,0,1,0,Chicago City,.0016506894,1
VERY LOW,50 to 59,0,0,2,-.2,0,M,BLK,0,0,50 to 59,50 to 59,,,4/18/16,31,,,6,,,,,CHICAGO        ,IL,60644,,0,,,50 to 59,9/7/08 1:00,3,Y,,,,,,,,1487,,0,0,0,2,,1,Chicago City,.0016520669,1
VERY LOW,50 to 59,0,0,0,-.30000001,0,M,WWH,0,1,50 to 59,50 to 59,,,3/25/15,25,25,,25,,,1,3/25/15 2:10,,,,,1,,,50 to 59,,,Y,,,,,,,,1877,,1,0,0,0,3,1,Chicago City,.0016544563,1
VERY LOW,30 to 39,0,0,0,-.40000001,0,M,WHI,0,0,30 to 39,30 to 39,,,1/24/17,31,25,,31,,,,,,,,,0,2,9/7/15 11:25,40 to 49,,,Y,,,,,,,,1206,,1,0,0,0,,0,Rural/County,.0016577031,1
VERY LOW,40 to 49,0,0,0,.1,0,F,WWH,0,0,40 to 49,40 to 49,,,1/10/17,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,1220,,1,0,0,0,,1,Rural/County,.0016607742,1
LOW,30 to 39,1,0,0,-.30000001,0,M,BLK,0,1,30 to 39,30 to 39,,,11/21/14,3,3,IL,3,,,1,11/21/14 10:26,,,,,1,,,30 to 39,3/28/18 10:47,,Y,,,,,,,,2001,,1,1,0,1,1,1,Chicago City,.0016701142,1
VERY LOW,20 to 29,0,0,0,-.40000001,0,M,WWH,0,0,20 to 29,20 to 29,,,8/1/15,10,10,,10,,,,,,,,,1,1,8/1/15 20:22,30 to 39,,,Y,,,,,,,,1748,,1,0,0,0,1,0,Chicago City,.0016714681,1
LOW,20 to 29,0,0,1,.1,0,F,BLK,0,0,20 to 29,20 to 29,,,8/4/16,11,11,IL,15,,,,,,,,,1,2,8/26/10 15:20,20 to 29,,,Y,,,,,,,,1379,,0,0,0,1,3,1,Chicago City,.0016742179,1
VERY LOW,30 to 39,0,0,0,-.1,0,F,WHI,0,0,30 to 39,30 to 39,,,6/26/16,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1418,1,1,0,0,0,,1,Rural/County,.0016742201,1
VERY LOW,40 to 49,0,0,0,-.1,0,M,WHI,0,0,40 to 49,40 to 49,,,2/27/16,31,25,,25,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,1538,,0,0,0,0,,1,Chicago City,.0016855047,1
VERY LOW,50 to 59,0,0,0,.1,0,M,WHI,0,0,50 to 59,50 to 59,,,10/25/16,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1297,1,1,0,0,0,,1,Rural/County,.0016870628,1
LOW,less than 20,0,1,0,.30000001,0,M,WWH,0,0,less than 20,less than 20,,,11/10/17,31,10,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,916,1,1,0,1,1,,0,Rural/County,.0016878617,1
VERY LOW,50 to 59,0,0,0,-.1,0,M,WHI,0,0,50 to 59,50 to 59,,,8/27/15,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1722,1,1,0,0,0,,1,Rural/County,.0016904543,1
VERY LOW,40 to 49,0,0,0,-.30000001,0,M,WHI,0,0,40 to 49,40 to 49,,,9/12/14,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,2071,1,1,0,0,0,,0,Rural/County,.0016912756,1
VERY LOW,30 to 39,0,0,0,.30000001,0,F,BLK,0,0,30 to 39,30 to 39,,,11/27/17,19,19,,19,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,899,,1,0,0,0,3,1,Chicago City,.0016981893,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,M,BLK,0,0,30 to 39,30 to 39,,,10/22/14,5,5,IL,7,,,,,,,,,1,1,10/22/14 13:09,30 to 39,,,Y,,,,,,,,2031,,0,0,0,0,2,1,Chicago City,.0016995608,1
VERY LOW,30 to 39,0,0,0,.1,0,M,WHI,0,0,30 to 39,30 to 39,,,12/5/16,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1256,,1,0,0,0,,1,Rural/County,.0017009448,1
LOW,20 to 29,0,0,0,-.2,0,M,BLK,1,1,20 to 29,20 to 29,,,9/15/15,31,9,IL,31,1,12/17/09 1:41,2,3/17/10 20:15,DIXON          ,IL,61021,,0,,,30 to 39,,,Y,,,,,,,,1703,1,1,0,0,0,,0,Rural/County,.0017036517,1
VERY LOW,20 to 29,0,0,0,-.30000001,0,M,WHI,0,1,20 to 29,20 to 29,,,3/14/15,31,,,31,,,1,3/14/15 7:05,,,,,0,,,30 to 39,,,Y,,,,,,,,1888,1,1,0,0,0,,0,Rural/County,.0017098199,1
LOW,20 to 29,0,0,0,.40000001,0,M,WWH,0,0,20 to 29,20 to 29,,,1/22/18,31,9,,8,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,843,,0,0,0,0,,1,Chicago City,.0017157682,1
VERY LOW,60 or older,0,0,0,-.1,0,M,BLK,0,0,60 or older,60 or older,,,1/13/16,7,7,,4,,,,,,,,,1,,,60 or older,,,Y,,,,,,,,1583,,0,0,0,0,2,1,Chicago City,.0017159116,1
VERY LOW,30 to 39,0,0,0,-.1,0,M,WWH,0,0,30 to 39,30 to 39,,,12/1/15,8,,,10,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,1626,,0,0,0,0,1,0,Chicago City,.0017180044,1
VERY LOW,40 to 49,0,0,0,-.60000002,0,M,BLK,0,1,40 to 49,40 to 49,,,7/8/18,9,9,IL,9,,,3,7/8/18 16:55,,,,,1,,,50 to 59,,,Y,,,,,,,,676,,1,0,0,0,1,0,Chicago City,.0017182914,1
VERY LOW,20 to 29,0,0,0,-.30000001,0,M,WWH,0,1,20 to 29,20 to 29,,,9/24/14,9,9,,9,,,1,8/23/12 21:40,,,,,1,,,30 to 39,,,Y,,,,,,,,2059,,1,0,0,0,1,0,Chicago City,.001720874,1
VERY LOW,20 to 29,0,0,1,-.2,0,M,WHI,0,0,20 to 29,20 to 29,,,1/28/16,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1568,,1,0,0,1,,0,Rural/County,.0017213861,1
VERY LOW,20 to 29,0,0,0,.2,0,M,BLK,0,0,20 to 29,20 to 29,,,3/26/17,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1145,,1,0,0,0,,0,Rural/County,.0017240949,1
VERY LOW,40 to 49,0,0,0,-.60000002,0,M,WWH,0,0,40 to 49,40 to 49,,,11/19/14,25,25,,25,,,,,,,,,1,,,40 to 49,,,Y,,,,,,,,2003,,1,0,0,0,3,1,Chicago City,.0017263438,1
VERY LOW,30 to 39,0,0,0,-.1,0,F,WWH,0,0,30 to 39,30 to 39,,,9/19/15,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1699,,1,0,0,0,,1,Rural/County,.0017347656,1
VERY LOW,20 to 29,0,0,0,-.30000001,0,F,WHI,0,0,20 to 29,20 to 29,,,7/24/14,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,2121,,1,0,0,0,,0,Rural/County,.001735884,1
LOW,20 to 29,1,0,0,-.30000001,0,M,BLK,0,0,20 to 29,20 to 29,,,5/28/15,6,6,,3,,,,,,,,,1,1,5/28/15 12:45,20 to 29,1/14/17 3:48,,Y,,,,,,,,1813,,0,1,0,1,2,1,Chicago City,.0017382504,1
VERY LOW,50 to 59,0,0,0,.40000001,0,M,WHI,0,0,50 to 59,50 to 59,,,10/1/17,9,9,,9,,,,,,,,,1,1,10/1/17 23:45,50 to 59,,,Y,,,,,,,,956,,1,0,0,0,1,1,Chicago City,.0017395914,1
VERY LOW,20 to 29,0,0,0,-.1,0,M,BLK,0,0,20 to 29,20 to 29,,,5/30/16,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1445,,1,0,0,0,,0,Rural/County,.0017407166,1
VERY LOW,30 to 39,0,0,0,-.1,0,M,BLK,0,1,30 to 39,30 to 39,,,3/6/16,11,11,IL,6,,,2,10/21/12 0:58,,,,,1,,,30 to 39,,,Y,,,,,,,,1530,,0,0,0,0,3,1,Chicago City,.0017412249,1
VERY LOW,40 to 49,0,0,0,.30000001,0,M,WWH,0,1,40 to 49,40 to 49,,,12/30/17,8,8,,8,,,1,12/30/17 20:25,,,,,1,,,40 to 49,,,Y,,,,,,,,866,,1,0,0,0,1,1,Chicago City,.0017450349,1
VERY LOW,50 to 59,0,0,0,-.30000001,0,M,WHI,0,0,50 to 59,50 to 59,,,4/18/15,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1853,1,1,0,0,0,,1,Rural/County,.0017469778,1
VERY LOW,50 to 59,0,0,0,-.30000001,0,M,BLK,0,0,50 to 59,50 to 59,,,4/10/15,19,19,IL,19,,,,,,,,,1,,,50 to 59,,,Y,,,,,,,,1861,,1,0,0,0,3,1,Chicago City,.0017490317,1
LOW,20 to 29,0,1,0,-.30000001,0,M,BLK,0,1,20 to 29,20 to 29,,,3/22/18,31,7,,31,,,3,5/22/15 15:42,,,,,0,2,3/22/18 8:30,20 to 29,6/8/14 19:00,,Y,,,,,,,,784,,1,0,1,1,,1,Rural/County,.0017493388,1
LOW,20 to 29,0,0,0,0,0,M,WWH,0,0,20 to 29,20 to 29,,,6/11/17,31,,,31,,,,,,,,,0,1,3/19/17 20:10,20 to 29,,,Y,,,,,,,,1068,1,1,0,0,0,,1,Rural/County,.0017591027,1
LOW,less than 20,0,0,2,-1,0,M,WWH,0,1,less than 20,less than 20,,,2/2/16,31,16,,31,,,2,2/2/16 17:52,,,,,0,,,20 to 29,,,Y,,,,,,,,1563,,1,0,0,2,,0,Rural/County,.0017749073,1
LOW,30 to 39,0,1,1,.69999999,1,M,BLK,0,0,30 to 39,30 to 39,,,12/22/18,9,9,,9,,,,,,,,,1,3,7/22/17 19:55,30 to 39,,,Y,,,,,,,,509,,1,0,1,3,1,1,Chicago City,.0017777941,1
LOW,20 to 29,0,0,0,-.40000001,0,M,BLK,0,0,20 to 29,20 to 29,,,1/21/16,6,6,,6,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1575,,1,0,0,0,2,1,Chicago City,.0017848345,1
LOW,less than 20,0,0,0,-.30000001,0,M,BLK,0,0,less than 20,less than 20,,,5/20/15,31,,,31,,,,,,,,,0,,,less than 20,,,Y,,,,,,,,1821,,1,0,0,0,,1,Rural/County,.0017868517,1
